FrenchBulldog03_14473	16	3	4	2	0.0	-1.5	0.58	0	D
GermanShepherd06	46	1	1	1	0	-1	0	0	D
GermanShepherd07	54	1	2	2	0	-1	0.0	0	D
GL03.09	66	0	0	0	0	0	0	0	D
GL07.05	94	0	0	0	0	0	0	0	D
GL11.06	190	0	0	0	0	0	0	0	D
GL11.13	84	0	0	0	0	0	0	0	D
GL12.05	82	0	0	0	0	0	0	0	D
GL12.13	60	0	0	0	0	0	0	0	D
GL13.09	48	1	2	2	0	-1	0.0	0	D
GL14.07	80	2	2	1	0.0	-1	0.0	0	D
GL15.12	80	0	0	0	0	0	0	0	D
GL15.26	96	0	0	0	0	0	0	0	D
GL15.49	146	0	0	0	0	0	0	0	D
GL15.52	154	0	0	0	0	0	0	0	D
GL15.63	62	1	2	2	0	-1	0.0	0	D
GoldenRetriever20	60	0	0	0	0	0	0	0	D
GoldenRetriever29	78	0	0	0	0	0	0	0	D
GreatDane02	80	0	0	0	0	0	0	0	D
GreaterSwissMountainDog01_Reseq_25402	62	0	0	0	0	0	0	0	D
Greyhound08	58	1	2	2	0	-1	0.0	0	D
Greyhound10	198	0	0	0	0	0	0	0	D
IcelandicSheepdog02_30709	56	1	2	2	0	-1	0.0	0	D
ItalianGreyhound01	52	1	2	2	0	-1	0.0	0	D
LagottoRomagnolo06	198	0	0	0	0	0	0	0	D
Leonberger05	80	0	0	0	0	0	0	0	D
Leonberger09	78	0	0	0	0	0	0	0	D
Leonberger13	198	0	0	0	0	0	0	0	D
Leonberger14	190	0	0	0	0	0	0	0	D
Leonberger16	198	0	0	0	0	0	0	0	D
Maltese10	70	0	0	0	0	0	0	0	D
MauritianDog01	198	0	0	0	0	0	0	0	D
MiniatureSchnauzer01	50	2	2	1	0.0	-1	0.0	0	D
MiniatureSchnauzer11	176	0	0	0	0	0	0	0	D
MiniatureSchnauzer17	198	0	0	0	0	0	0	0	D
MIX_GoldenRetriever01	58	0	0	0	0	0	0	0	D
NewGuineaSingingDog04	44	1	2	4	0	-2	0.0	0	D
PeruvianVillageDog02	80	0	0	0	0	0	0	0	D
PitBullTerrier04	80	0	0	0	0	0	0	0	D
Pug01	96	0	0	0	0	0	0	0	D
Pug02	84	0	0	0	0	0	0	0	D
Pug03	40	0	0	0	0	0	0	0	D
Pug04	90	0	0	0	0	0	0	0	D
QuebecWolf	100	0	0	0	0	0	0	0	W
RedWolf03	94	0	0	0	0	0	0	0	W
Rottweiler02	58	0	0	0	0	0	0	0	D
Rottweiler10	76	0	0	0	0	0	0	0	D
ShihTzu01	80	0	0	0	0	0	0	0	D
SoftCoatedWheatenTerrier05_13025	76	0	0	0	0	0	0	0	D
StaffordshireBullTerrier01_27211	70	0	0	0	0	0	0	0	D
StandardSchnauzer01	82	0	0	0	0	0	0	0	D
StandardSchnauzer06	80	0	0	0	0	0	0	0	D
StandardSchnauzer07	80	0	0	0	0	0	0	0	D
TibetanMastiff07	66	0	0	0	0	0	0	0	D
TibetanMastiff10	30	3	4	2	1.73	-1.5	0.58	0	D
TibetanSpaniel06	86	0	0	0	0	0	0	0	D
TibetanTerrier05	58	0	0	0	0	0	0	0	D
Tornjak01	72	0	0	0	0	0	0	0	D
UnknownBreed07	82	0	0	0	0	0	0	0	D
UnknownBreed09	82	0	0	0	0	0	0	0	D
UnknownBreed28	20	0	0	0	0	0	0	0	D
VillDog_China05	34	0	0	0	0	0	0	0	D
VillDog_China34	198	0	0	0	0	0	0	0	D
VillDog_China35	198	0	0	0	0	0	0	0	D
VillDog_Egypt02	60	0	0	0	0	0	0	0	D
VillDog_India04	78	0	0	0	0	0	0	0	D
VillDog_Lebanon02	34	2	2	1	0.0	-1	0.0	0	D
VillDog_Lebanon03	50	0	0	0	0	0	0	0	D
VillDog_Qatar02	92	0	0	0	0	0	0	0	D
VillDog_Vietnam02	58	0	0	0	0	0	0	0	D
VillDog_Vietnam05	50	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr08	50	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr19	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr20	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr21	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr22	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr23	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr24	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr25	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr26	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr27	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr28	198	0	0	0	0	0	0	0	D
WestHighlandWhiteTerr29	198	0	0	0	0	0	0	0	D
Wolf22	80	2	1	1	0.0	-2	0	0	W
Wolf43	198	0	0	0	0	0	0	0	W
Wolf44	198	0	0	0	0	0	0	0	W
Wolf45	198	0	0	0	0	0	0	0	W
Wolf46	198	0	0	0	0	0	0	0	W
Wolf50	198	0	0	0	0	0	0	0	W
Wolf51	198	0	0	0	0	0	0	0	W
Wolf52	198	0	0	0	0	0	0	0	W
Wolf54	198	0	0	0	0	0	0	0	W
Wolf57	68	0	0	0	0	0	0	0	W
YorkshireTerrier11	62	1	2	2	0	-1	0.0	0	D
YorkshireTerrier17	46	1	2	2	0	-1	0.0	0	D
YorkshireTerrier31	42	1	2	2	0	-1	0.0	0	D
YorkshireTerrier36	38	2	3	3	1.41	-2	1.73	0	D
YorkshireTerrier58	22	1	2	4	0	-2	0.0	0	D
YorkshireTerrier62	38	1	2	2	0	-1	0.0	0	D
YorkshireTerrier70	168	0	0	0	0	0	0	0	D
YorkshireTerrier71	58	1	2	2	0	-1	0.0	0	D
AiredaleTerrier02	48	1	1	2	0	-1	0	1	D
AmericanEskimoDog07_15300	58	1	1	2	0	-1	0	1	D
AustralianCattleDog06	58	2	1	1.5	0.71	-2	0	1	D
BelgianMalinois07_25490	50	1	1	2	0	-1	0	1	D
BerneseMountainDog13_7507	66	3	1	1	0.0	-2	0	1	D
CairnTerrier08	28	1	1	2	0	-1	0	1	D
CairnTerrier14	36	1	1	2	0	-1	0	1	D
ChesapeakeBayRetriever03_12347	34	1	1	2	0	-1	0	1	D
ChineseIndigenousDog09	28	1	1	2	0	-1	0	1	D
EnglishPointer02	56	2	1	1.5	0.71	-2	0	1	D
FinnishLapphund01	56	1	1	3	0	-2	0	1	D
GL12.08	46	1	1	2	0	-1	0	1	D
GL12.12	48	3	3	2	0.0	-1.67	0.58	1	D
GreatPlainsWolf01	84	1	0	1	0	0	0	1	W
LabradorRetriever08	50	1	1	2	0	-1	0	1	D
MiniatureSchnauzer03	28	1	1	2	0	-1	0	1	D
NorwegianElkhound01	52	1	1	2	0	-1	0	1	D
Pomeranian01	26	1	1	2	0	-1	0	1	D
SpinoneItaliano06_31641	56	1	1	2	0	-1	0	1	D
TibetanSpaniel14_5381	48	1	0	1	0	0	0	1	D
VillDog_China15	44	1	1	2	0	-1	0	1	D
VillDog_China16	48	2	2	2	1.41	-1.5	0.71	1	D
VillDog_China27	24	1	1	2	0	-1	0	1	D
VillDog_China52	66	1	2	5	0	-2	0.0	1	D
VillDog_Egypt01	34	1	0	1	0	0	0	1	D
VillDog_Lebanon01	58	3	1	1	0.0	-2	0	1	D
Vizsla01	34	3	2	1.67	0.58	-2	0.0	1	D
Wolf30	82	1	0	1	0	0	0	1	W
Wolf76	60	4	2	1.25	0.5	-2	0.0	1	W
Wolf93	60	3	2	1.67	0.58	-2	0.0	1	W
YorkshireTerrier18	44	1	1	2	0	-1	0	1	D
YorkshireTerrier27	24	1	1	2	0	-1	0	1	D
YorkshireTerrier46	56	1	1	2	0	-1	0	1	D
YorkshireTerrier47	58	1	1	2	0	-1	0	1	D
YorkshireTerrier74	38	1	1	2	0	-1	0	1	D
AlaskanWolf	82	2	0	1	0.0	0	0	2	W
BelgianMalinois01	34	1	0	2	0	0	0	2	D
BelgianMalinois21	64	2	2	2	0.0	-1	0.0	2	D
BelgianSheepdog10_22740	54	2	2	2	0.0	-1	0.0	2	D
BelgianSheepdog13_35102	54	2	2	2	0.0	-1	0.0	2	D
BelgianTervuren15_BT1259	60	2	2	2	0.0	-1	0.0	2	D
BergerPicard01	26	2	4	3	1.41	-1	0.0	2	D
BiewerTerrier06_31256	22	1	0	2	0	0	0	2	D
Boerboel02_33148	60	1	0	2	0	0	0	2	D
BorderCollie08	58	1	2	4	0	-1	0.0	2	D
BorderCollie21_34026	54	1	2	4	0	-1	0.0	2	D
Chinook01	46	2	2	2	0.0	-1	0.0	2	D
Chinook09_33362	28	4	4	1.5	0.58	-1	0.0	2	D
CockerSpanielAmerican08_12452	36	1	0	2	0	0	0	2	D
CockerSpanielEnglish02	48	1	0	2	0	0	0	2	D
CockerSpanielEnglish04	48	1	0	2	0	0	0	2	D
Dingo24	26	1	2	4	0	-1	0.0	2	D
Dingo27	30	1	2	4	0	-1	0.0	2	D
EnglishSetter05_26982	76	1	0	2	0	0	0	2	D
EntlebucherSennenhund01	56	2	2	2	0.0	-1	0.0	2	D
EntlebucherSennenhund07	56	2	2	2	0.0	-1	0.0	2	D
EntlebucherSennenhund09_12841	52	2	2	2	0.0	-1	0.0	2	D
GermanHuntingTerrier01	50	1	0	2	0	0	0	2	D
GL07.04	66	3	1	1.33	0.58	-2	0	2	D
GL14.12	28	3	3	1.67	0.58	-1	0.0	2	D
GL15.27	90	4	1	1	0.0	-2	0	2	D
GL15.62	116	2	0	1	0.0	0	0	2	D
GoldenRetriever13	26	1	0	2	0	0	0	2	D
Greyhound02	54	1	0	2	0	0	0	2	D
Greyhound05	46	1	0	2	0	0	0	2	D
Greyhound07	50	1	0	2	0	0	0	2	D
IndigenousDogNigeria01	56	2	2	2	0.0	-1	0.0	2	D
IndigenousDogVietnam03	26	2	2	2	0.0	-1	0.0	2	D
IrishTerrier03_31717	22	3	3	4.33	2.08	-3.67	2.31	2	D
KunmingDog12	48	2	1	2	0.0	-2	0	2	D
Maltese05	80	1	0	2	0	0	0	2	D
Maltese12	64	1	0	2	0	0	0	2	D
MiniatureSchnauzer05	58	2	2	2	0.0	-1	0.0	2	D
PortugueseWaterDog11_30165	68	1	0	2	0	0	0	2	D
ScottishTerrier05_7790	50	2	2	2	0.0	-1	0.0	2	D
ScottishTerrier07_10701	54	2	2	2	0.0	-1	0.0	2	D
ScottishTerrier11_29815	54	2	2	2	0.0	-1	0.0	2	D
SmoothFoxTerrier05_33294	64	2	0	1	0.0	0	0	2	D
StdManchesterTerrier03_33491	76	1	0	2	0	0	0	2	D
TibetanMastiff02	26	2	1	1.5	0.71	-1	0	2	D
TibetanMastiff09	34	1	2	4	0	-1	0.0	2	D
UnknownBreed16	8	1	1	3	0	-1	0	2	D
UnknownBreed25	58	2	2	2	0.0	-1	0.0	2	D
VillDog_China02	30	2	2	2	0.0	-1	0.0	2	D
VillDog_China06	52	2	2	2	0.0	-1	0.0	2	D
VillDog_China38	44	1	2	4	0	-1	0.0	2	D
VillDog_China41	44	1	2	4	0	-1	0.0	2	D
VillDog_Namibia02	28	1	0	2	0	0	0	2	D
VillDog_PapuaNG02	40	1	0	2	0	0	0	2	D
VillDog_PapuaNG03	32	2	2	2	0.0	-1	0.0	2	D
VillDog_Taiwan01	74	1	0	2	0	0	0	2	D
WireFoxTerrier01_8391	28	1	0	2	0	0	0	2	D
Wolf23	82	2	0	1	0.0	0	0	2	W
Wolf58	62	1	0	2	0	0	0	2	W
Wolf79	36	3	2	2	1.73	-2	0.0	2	W
Wolf85	36	4	3	1.75	1.5	-1.67	0.58	2	W
Wolf86	40	3	2	2	1.73	-2	0.0	2	W
WolfTibetan05	26	4	6	3.25	2.63	-1.83	1.17	2	W
YorkshireTerrier19	60	1	0	2	0	0	0	2	D
YorkshireTerrier21	58	2	2	2	0.0	-1	0.0	2	D
YorkshireTerrier29	36	1	0	2	0	0	0	2	D
YorkshireTerrier35	56	2	2	2	0.0	-1	0.0	2	D
YorkshireTerrier38	56	2	2	2	0.0	-1	0.0	2	D
YorkshireTerrier41	48	1	0	2	0	0	0	2	D
YorkshireTerrier43	110	2	2	2	0.0	-1	0.0	2	D
YorkshireTerrier49	64	2	2	2	0.0	-1	0.0	2	D
YorkshireTerrier56	42	2	2	2	0.0	-1	0.0	2	D
AfricanGoldenWolf03	84	4	1	1.25	0.5	-2	0	3	W
AlaskanMalamute01_Reseq_30099	46	3	1	1.67	0.58	-2	0	3	D
BrusselsGriffon06_3036	4	4	3	1.5	0.58	-1	0.0	3	D
ChowChow01_15630	44	2	1	2	0.0	-1	0	3	D
Coyote01	80	3	1	1.33	0.58	-1	0	3	W
Dingo23	38	1	2	5	0	-1	0.0	3	D
EntlebucherSennenhund06	50	3	2	1.67	0.58	-1	0.0	3	D
GermanShepherd14	40	2	1	2	0.0	-1	0	3	D
GL01.23	52	2	1	2	0.0	-1	0	3	D
GL07.35	58	2	2	3	1.41	-1.5	0.71	3	D
Havanese02	48	3	1	1.33	0.58	-1	0	3	D
LagottoRomagnolo05	50	2	1	2	0.0	-1	0	3	D
