Boxer02_21522	Mastiff
Boxer03_27749	Mastiff
BoykinSpaniel01_9997	Spaniel
BoykinSpaniel02_9998	Spaniel
BoykinSpaniel03_10013	Spaniel
BoykinSpaniel04_9911	Spaniel
BoykinSpaniel05_10012	Spaniel
Briard01_15126	Sheepdog
Briard02_20209	Sheepdog
Briard03_20268	Sheepdog
BrittanySpaniel01	Hound
BrittanySpaniel02_33265	Hound
BrittanySpaniel03_12726	Hound
BrusselsGriffon01_6033	Spitz
BrusselsGriffon02_6692	Spitz
BrusselsGriffon03_15571	Spitz
BrusselsGriffon04_21511	Spitz
BrusselsGriffon05_31228	Spitz
BrusselsGriffon06_3036	Spitz
BullMastiff01	Mastiff
BullMastiff02_1125	Mastiff
BullMastiff03_26414	Mastiff
BullTerrier01	Mastiff
BullTerrier02	Mastiff
BullTerrier03_23604	Mastiff
BullTerrier04_23664	Mastiff
BullTerrier05_23673	Mastiff
BullTerrier06	Mastiff
BullTerrier07	Mastiff
BullTerrier08	Mastiff
BullTerrier09	Mastiff
BullTerrier10_23587	Mastiff
BullTerrier11_23589	Mastiff
BullTerrier12_23590	Mastiff
BullTerrier13_23592	Mastiff
BullTerrier14_23602	Mastiff
BullTerrier15_23624	Mastiff
BullTerrier16_23634	Mastiff
BullTerrier17_23636	Mastiff
BullTerrier18_23653	Mastiff
BullTerrier19_23656	Mastiff
BullTerrier20_23658	Mastiff
BullTerrier21_23659	Mastiff
BullTerrier22_23667	Mastiff
BullTerrier23_23668	Mastiff
BullTerrier24_23676	Mastiff
BullTerrier25_23678	Mastiff
BullTerrier26_23700	Mastiff
BullTerrier27_23702	Mastiff
BullTerrier28_23704	Mastiff
BullTerrier29_23710	Mastiff
BullTerrier30_23717	Mastiff
BullTerrier31_23719	Mastiff
BullTerrier32_23720	Mastiff
BullTerrier33_23722	Mastiff
BullTerrier34_23723	Mastiff
BullTerrier35_23727	Mastiff
BullTerrier36_24718	Mastiff
BullTerrier37_24725	Mastiff
BullTerrier38_34137	Mastiff
BullTerrier39_23703	Mastiff
BullTerrier40_23675	Mastiff
BullTerrier41_24720	Mastiff
BullTerrier42_34622	Mastiff
BullTerrier43_34623	Mastiff
BullTerrier44_23713	Mastiff
Bulldog01_14566	Mastiff
CairnTerrier01	Terrier
CairnTerrier02	Terrier
CairnTerrier03	Terrier
CairnTerrier04	Terrier
CairnTerrier05	Terrier
CairnTerrier06	Terrier
CairnTerrier07	Terrier
CairnTerrier08	Terrier
CairnTerrier09	Terrier
CairnTerrier10	Terrier
CairnTerrier11	Terrier
CairnTerrier12	Terrier
CairnTerrier13	Terrier
CairnTerrier14	Terrier
CairnTerrier15	Terrier
CairnTerrier16_25446	Terrier
CaneCorso01	Mastiff
CaneCorso02_27352	Mastiff
CaneCorso03	Mastiff
CardiganWelshCorgi01_9284	Sighthound
CardiganWelshCorgi02_33210	Sighthound
CardiganWelshCorgi03_33212	Sighthound
CarolinaDog01_7771	Non-breed
