Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
CGG32	R5	230	10.839	0.978	15.04	W
CGG33	R1	80	10.212	1	15.28	W
CGG33	R2	205	11.8	1	15.28	W
CGG33	R3	245	11.016	1	15.28	W
CGG33	R4	300	6.233	1	15.28	W
CGG33	R5	230	10.748	0.983	15.28	W
CGG34	R1	80	0.6	0.6	0.2	W
CGG34	R2	205	0	0	0.2	W
CGG34	R3	245	0	0	0.2	W
CGG34	R4	300	0.237	0.237	0.2	W
CGG34	R5	230	0	0	0.2	W
CGG6	R1	80	3.5	0.838	9.2	D
CGG6	R2	205	17.102	1	9.2	D
CGG6	R3	245	14.155	1	9.2	D
CGG6	R4	300	7.123	0.78	9.2	D
CGG6	R5	230	11.226	1	9.2	D
CH1109	R1	80	0	0	0.03	W
CH1109	R2	205	0	0	0.03	W
CH1109	R3	245	0	0	0.03	W
CH1109	R4	300	0	0	0.03	W
CH1109	R5	230	0	0	0.03	W
CTC	R1	80	5.4	0.963	9.2	D
CTC	R2	205	9.985	1	9.2	D
CTC	R3	245	8.71	0.939	9.2	D
CTC	R4	300	7.3	0.933	9.2	D
CTC	R5	230	4.278	0.709	9.2	D
DS04	R1	80	0	0	0.83	W
DS04	R2	205	1.634	0.937	0.83	W
DS04	R3	245	1.433	0.706	0.83	W
DS04	R4	300	0.29	0.287	0.83	W
DS04	R5	230	0.978	0.617	0.83	W
F3781	R1	80	0	0	0.8	D
F3781	R2	205	1.444	0.659	0.8	D
F3781	R3	245	1.976	0.653	0.8	D
F3781	R4	300	1.907	0.667	0.8	D
F3781	R5	230	0.596	0.474	0.8	D
glw	R1	80	25.325	1	23.8	W
glw	R2	205	13.863	1	23.8	W
glw	R3	245	18.073	1	23.8	W
glw	R4	300	24.297	1	23.8	W
glw	R5	230	10.017	1	23.8	W
HellsGap11000	R1	80	0	0	1.5	W
HellsGap11000	R2	205	1.083	0.751	1.5	W
HellsGap11000	R3	245	1.608	0.539	1.5	W
HellsGap11000	R4	300	0.29	0.177	1.5	W
HellsGap11000	R5	230	1.552	0.587	1.5	W
HellsGap2500	R1	80	0.212	0.213	0.8	W
HellsGap2500	R2	205	0	0	0.8	W
HellsGap2500	R3	245	0.249	0.249	0.8	W
HellsGap2500	R4	300	0.2	0.2	0.8	W
HellsGap2500	R5	230	0.565	0.417	0.8	W
HMNH_007	R1	80	0.713	0.463	1.09	W
HMNH_007	R2	205	1.327	0.922	1.09	W
HMNH_007	R3	245	0.82	0.612	1.09	W
HMNH_007	R4	300	0.97	0.477	1.09	W
HMNH_007	R5	230	1.83	0.922	1.09	W
HMNH_011	R1	80	0.412	0.338	1.4	W
HMNH_011	R2	205	3.541	1	1.4	W
HMNH_011	R3	245	1.122	0.469	1.4	W
HMNH_011	R4	300	1.81	0.683	1.4	W
HMNH_011	R5	230	1.387	0.887	1.4	W
HMNH_017	R1	80	0	0	0.4	D
HMNH_017	R2	205	0.454	0.332	0.4	D
HMNH_017	R3	245	0.596	0.461	0.4	D
HMNH_017	R4	300	0.477	0.307	0.4	D
HMNH_017	R5	230	0.204	0.204	0.4	D
HOV4	R1	80	0.1	0.1	0.99	W
HOV4	R2	205	0.878	0.639	0.99	W
HOV4	R3	245	0.453	0.429	0.99	W
HOV4	R4	300	0.203	0.203	0.99	W
HOV4	R5	230	0.526	0.383	0.99	W
HXH	R1	80	7.375	0.875	9.4	D
HXH	R2	205	6.727	1	9.4	D
HXH	R3	245	8.229	1	9.4	D
HXH	R4	300	3.797	0.807	9.4	D
HXH	R5	230	6.274	0.939	9.4	D
IN18_005	R1	80	0	0	1.71	W
IN18_005	R2	205	6.112	1	1.71	W
IN18_005	R3	245	3.567	0.739	1.71	W
IN18_005	R4	300	2.423	0.87	1.71	W
IN18_005	R5	230	2.57	0.7	1.71	W
IN18_016	R1	80	8.737	1	13.01	W
IN18_016	R2	205	75.966	1	13.01	W
IN18_016	R3	245	49.094	1	13.01	W
IN18_016	R4	300	27.96	0.967	13.01	W
IN18_016	R5	230	49.887	0.987	13.01	W
inw	R1	80	38.725	0.988	27.129	W
inw	R2	205	3.532	0.537	27.129	W
inw	R3	245	11.584	1	27.129	W
inw	R4	300	12.867	0.903	27.129	W
inw	R5	230	5.774	0.93	27.129	W
IRK	R1	80	0.562	0.562	0.23	W
IRK	R2	205	0.322	0.322	0.23	W
IRK	R3	245	0	0	0.23	W
IRK	R4	300	0.38	0.24	0.23	W
IRK	R5	230	0.074	0.074	0.23	W
irw	R1	80	28.113	0.975	29.65	W
irw	R2	205	11.673	1	29.65	W
irw	R3	245	9.159	0.743	29.65	W
irw	R4	300	4.21	0.663	29.65	W
irw	R5	230	5.222	0.77	29.65	W
ita	R1	80	7.175	0.963	6.7	W
ita	R2	205	1.405	0.488	6.7	W
ita	R3	245	1.531	0.416	6.7	W
ita	R4	300	4.97	1	6.7	W
ita	R5	230	1.043	0.952	6.7	W
JAL385	R1	80	2.325	0.6	4	W
JAL385	R2	205	2.854	1	4	W
JAL385	R3	245	3.004	0.963	4	W
JAL385	R4	300	2.877	0.787	4	W
JAL385	R5	230	3.678	0.878	4	W
JAL48	R1	80	1.525	0.95	1.12	W
JAL48	R2	205	1.317	0.776	1.12	W
JAL48	R3	245	2.551	0.722	1.12	W
JAL48	R4	300	0.367	0.367	1.12	W
JAL48	R5	230	0.787	0.622	1.12	W
JAL65	R1	80	0	0	0.43	W
JAL65	R2	205	0.205	0.205	0.43	W
JAL65	R3	245	0	0	0.43	W
JAL65	R4	300	0.13	0.13	0.43	W
JAL65	R5	230	0.17	0.17	0.43	W
JAL69	R1	80	0	0	1.5	W
JAL69	R2	205	2.805	0.873	1.5	W
JAL69	R3	245	1.498	0.718	1.5	W
JAL69	R4	300	1.593	0.467	1.5	W
JAL69	R5	230	2.652	0.883	1.5	W
JK2174	R1	80	1.712	0.825	4.33	W
JK2174	R2	205	0	0	4.33	W
JK2174	R3	245	0.143	0.073	4.33	W
JK2174	R4	300	0.223	0.117	4.33	W
JK2174	R5	230	0.091	0.091	4.33	W
JK2175	R1	80	0.438	0.438	1.23	W
JK2175	R2	205	0.005	0.005	1.23	W
